GeoID,Text,Length
60250101011,"Block Group 60250101011: Calipatria, Imperial County, 92233. https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060250101011&x=-115.462864&y=33.1874151

The population density is 28 persons per square mile (1.13% percentile for the SCAG region).",258
60250101021,"Block Group 60250101021: Niland, Imperial County, 92257. https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060250101021&x=-115.6086847&y=33.2254028

The population density is 12 persons per square mile (0.79% percentile for the SCAG region).",255
60250101022,"Block Group 60250101022: Calipatria, Imperial County, 92233. https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060250101022&x=-115.507714&y=33.1234393

The population density is 2027 persons per square mile (10.90% percentile for the SCAG region).",261
60250101023,"Block Group 60250101023: Calipatria, Imperial County, 92233. https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060250101023&x=-115.5210106&y=33.1218981

The population density is 2806 persons per square mile (14.74% percentile for the SCAG region).",262
60250101024,"Block Group 60250101024: Calipatria, Imperial County, 92233. https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060250101024&x=-115.5178685&y=33.1293804

The population density is 1889 persons per square mile (10.31% percentile for the SCAG region).",262
60250102001,"Block Group 60250102001: Westmorland, Imperial County, 92281. https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060250102001&x=-115.6689803&y=33.0633411

The population density is 15 persons per square mile (0.84% percentile for the SCAG region).",260
60250102002,"Block Group 60250102002: Westmorland, Imperial County, 92281. https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060250102002&x=-115.6258693&y=33.0373518

The population density is 3299 persons per square mile (17.25% percentile for the SCAG region).",263
60250103001,"Block Group 60250103001: Brawley, Imperial County, 92227. https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060250103001&x=-115.4711527&y=32.9827303

The population density is 6 persons per square mile (0.61% percentile for the SCAG region).",255
60250104001,"Block Group 60250104001: Brawley, Imperial County, 92227. https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060250104001&x=-115.5205727&y=32.9830053

The population density is 7935 persons per square mile (46.25% percentile for the SCAG region).",259
60250104002,"Block Group 60250104002: Brawley, Imperial County, 92227. https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060250104002&x=-115.5256232&y=32.98185

The population density is 9565 persons per square mile (56.34% percentile for the SCAG region).",257
60250104003,"Block Group 60250104003: Brawley, Imperial County, 92227. https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060250104003&x=-115.5313208&y=32.9821351

The population density is 4825 persons per square mile (25.77% percentile for the SCAG region).",259
60250104004,"Block Group 60250104004: Brawley, Imperial County, 92227. https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060250104004&x=-115.5161868&y=32.9909013

The population density is 1281 persons per square mile (7.52% percentile for the SCAG region).",258
60250104005,"Block Group 60250104005: Brawley, Imperial County, 92227. https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060250104005&x=-115.5298576&y=32.9946718

The population density is 3600 persons per square mile (18.85% percentile for the SCAG region).",259
60250105001,"Block Group 60250105001: Brawley, Imperial County, 92227. https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060250105001&x=-115.5392503&y=32.9909267

The population density is 5812 persons per square mile (31.61% percentile for the SCAG region).",259
60250105002,"Block Group 60250105002: Brawley, Imperial County, 92227. https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060250105002&x=-115.5391996&y=32.9808233

The population density is 6840 persons per square mile (38.71% percentile for the SCAG region).",259
60250105003,"Block Group 60250105003: Brawley, Imperial County, 92227. https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060250105003&x=-115.5473043&y=32.9903318

The population density is 4374 persons per square mile (23.23% percentile for the SCAG region).",259
60250105004,"Block Group 60250105004: Brawley, Imperial County, 92227. https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060250105004&x=-115.5504618&y=32.9818321

The population density is 3092 persons per square mile (16.23% percentile for the SCAG region).",259
60250106001,"Block Group 60250106001: Brawley, Imperial County, 92227. https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060250106001&x=-115.5392577&y=32.9752292

The population density is 9065 persons per square mile (53.33% percentile for the SCAG region).",259
60250106002,"Block Group 60250106002: Brawley, Imperial County, 92227. https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060250106002&x=-115.5351602&y=32.9706062

The population density is 2866 persons per square mile (15.10% percentile for the SCAG region).",259
60250106003,"Block Group 60250106003: Brawley, Imperial County, 92227. https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060250106003&x=-115.5517292&y=32.9752519

The population density is 1682 persons per square mile (9.32% percentile for the SCAG region).",258
60250106004,"Block Group 60250106004: Brawley, Imperial County, 92227. https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060250106004&x=-115.5565996&y=32.9608775

The population density is 1266 persons per square mile (7.43% percentile for the SCAG region).",258
60250107001,"Block Group 60250107001: Brawley, Imperial County, 92227. https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060250107001&x=-115.5272777&y=32.9747087

The population density is 4254 persons per square mile (22.49% percentile for the SCAG region).",259
60250107002,"Block Group 60250107002: Brawley, Imperial County, 92227. https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060250107002&x=-115.5207475&y=32.9744194

The population density is 7099 persons per square mile (40.37% percentile for the SCAG region).",259
60250107003,"Block Group 60250107003: Brawley, Imperial County, 92227. https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060250107003&x=-115.5208166&y=32.96506

The population density is 1310 persons per square mile (7.71% percentile for the SCAG region).",256
60250108001,"Block Group 60250108001: Brawley, Imperial County, 92227. https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060250108001&x=-115.3514134&y=32.8363463

The population density is 8 persons per square mile (0.66% percentile for the SCAG region).",255
60250108002,"Block Group 60250108002: Holtville, Imperial County, 92250. https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060250108002&x=-115.3923892&y=32.765855

The population density is 34 persons per square mile (1.26% percentile for the SCAG region).",257
60250109001,"Block Group 60250109001: Holtville, Imperial County, 92250. https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060250109001&x=-115.3778351&y=32.8070823

The population density is 314 persons per square mile (3.40% percentile for the SCAG region).",259
60250109002,"Block Group 60250109002: Holtville, Imperial County, 92250. https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060250109002&x=-115.3684135&y=32.8179259

The population density is 10726 persons per square mile (62.18% percentile for the SCAG region).",262
60250109003,"Block Group 60250109003: Holtville, Imperial County, 92250. https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060250109003&x=-115.3740001&y=32.8156157

The population density is 7252 persons per square mile (41.34% percentile for the SCAG region).",261
60250109004,"Block Group 60250109004: Holtville, Imperial County, 92250. https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060250109004&x=-115.3829719&y=32.816025

The population density is 4769 persons per square mile (25.40% percentile for the SCAG region).",260
60250109005,"Block Group 60250109005: Holtville, Imperial County, 92250. https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060250109005&x=-115.3868248&y=32.8112005

The population density is 1523 persons per square mile (8.61% percentile for the SCAG region).",260
60250109006,"Block Group 60250109006: Holtville, Imperial County, 92250. https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060250109006&x=-115.375938&y=32.8106685

The population density is 3322 persons per square mile (17.38% percentile for the SCAG region).",260
60250110001,"Block Group 60250110001: Imperial, Imperial County, 92251. https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060250110001&x=-115.5752807&y=32.851281

The population density is 3738 persons per square mile (19.56% percentile for the SCAG region).",259
60250110002,"Block Group 60250110002: Imperial, Imperial County, 92251. https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060250110002&x=-115.5669861&y=32.8506929

The population density is 2378 persons per square mile (12.76% percentile for the SCAG region).",260
60250110003,"Block Group 60250110003: Imperial, Imperial County, 92251. https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060250110003&x=-115.5670331&y=32.8382623

The population density is 833 persons per square mile (5.65% percentile for the SCAG region).",258
60250110004,"Block Group 60250110004: Imperial, Imperial County, 92251. https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060250110004&x=-115.5752641&y=32.8367503

The population density is 797 persons per square mile (5.46% percentile for the SCAG region).",258
60250110005,"Block Group 60250110005: Imperial, Imperial County, 92251. https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060250110005&x=-115.5857129&y=32.8451567

The population density is 2126 persons per square mile (11.39% percentile for the SCAG region).",260
60250110006,"Block Group 60250110006: Imperial, Imperial County, 92251. https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060250110006&x=-115.556913&y=32.8747189

The population density is 77 persons per square mile (1.79% percentile for the SCAG region).",256
60250111001,"Block Group 60250111001: El Centro, Imperial County, 92243. https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060250111001&x=-115.6944962&y=32.7663486

The population density is 9 persons per square mile (0.68% percentile for the SCAG region).",257
60250111002,"Block Group 60250111002: El Centro, Imperial County, 92243. https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060250111002&x=-115.6420322&y=32.8054553

The population density is 61 persons per square mile (1.58% percentile for the SCAG region).",258
60250111003,"Block Group 60250111003: Seeley, Imperial County, 92273. https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060250111003&x=-115.6907433&y=32.793325

The population density is 3330 persons per square mile (17.47% percentile for the SCAG region).",257
60250112011,"Block Group 60250112011: El Centro, Imperial County, 92243. https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060250112011&x=-115.5844181&y=32.810943

The population density is 1739 persons per square mile (9.65% percentile for the SCAG region).",259
60250112012,"Block Group 60250112012: El Centro, Imperial County, 92243. https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060250112012&x=-115.5527485&y=32.8148116

The population density is 738 persons per square mile (5.23% percentile for the SCAG region).",259
60250112021,"Block Group 60250112021: El Centro, Imperial County, 92243. https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060250112021&x=-115.5743468&y=32.7963737

The population density is 10204 persons per square mile (59.54% percentile for the SCAG region).",262
60250112022,"Block Group 60250112022: El Centro, Imperial County, 92243. https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060250112022&x=-115.574283&y=32.8073584

The population density is 9114 persons per square mile (53.66% percentile for the SCAG region).",260
60250112023,"Block Group 60250112023: El Centro, Imperial County, 92243. https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060250112023&x=-115.5743038&y=32.8017832

The population density is 5929 persons per square mile (32.37% percentile for the SCAG region).",261
60250113001,"Block Group 60250113001: El Centro, Imperial County, 92243. https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060250113001&x=-115.4889491&y=32.7769886

The population density is 141 persons per square mile (2.38% percentile for the SCAG region).",259
60250113002,"Block Group 60250113002: El Centro, Imperial County, 92243. https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060250113002&x=-115.5197&y=32.7739278

The population density is 282 persons per square mile (3.26% percentile for the SCAG region).",256
60250113003,"Block Group 60250113003: Heber, Imperial County, 92249. https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060250113003&x=-115.530857&y=32.7340408

The population density is 11908 persons per square mile (67.09% percentile for the SCAG region).",257
60250113004,"Block Group 60250113004: Heber, Imperial County, 92249. https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060250113004&x=-115.5245536&y=32.7297347

The population density is 2242 persons per square mile (12.06% percentile for the SCAG region).",257
60250114001,"Block Group 60250114001: El Centro, Imperial County, 92243. https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060250114001&x=-115.5465011&y=32.7999976

The population density is 2316 persons per square mile (12.48% percentile for the SCAG region).",261
60250114002,"Block Group 60250114002: El Centro, Imperial County, 92243. https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060250114002&x=-115.5503262&y=32.786054

The population density is 4542 persons per square mile (24.16% percentile for the SCAG region).",260
